name,popularity,phonetic,gender,meaning,root
امیرمحمد,285370,amir mohammad,male,کسی که حضرت محمد صلی الله علیه وآله حاکم و سرور اوست,عربی
امیرمهدی,111213,amir mahdi,male,ترکیب نامهای امیر و مهدی ، کسی که حضرت صاحب الزمان سرور و فرمانده اوست,عربی
امیرنظام, ,amir nezām,male,مرکب از امیر( پادشاه) + نظام (مجموعه سپاهیان یک کشور، ارتش) ، در دوره قاجار، عنوان و سمت فرمانده کل قوای نظامی,عربی
امیره, ,,female,مؤنث امیر,عربی
امین,211233,amin,male,مورد اطمینان، درستکار ، لقب پیامبر(ص) ، به صورت پسوند و پیشوند همراه با بعضی نامها می آید و نام جدید می سازد مانند محمد امین، امین عباس، و امین همایون,عربی
امین الدین,153,,male,آن که در دین امین و درستکار است,عربی
امین الله,12290,,male,مورد اعتماد خداوند,عربی
امین دخت, ,,female,امین (عربی) + دخت (فارسی) دختر امین، دختر درستکار,عربی-فارسی
امینا, ,aminā,both,امین(عربی) + ا (فارسی) مورد اعتماد، امین,عربی-فارسی
امینه,34160,amine,female,مؤنث امین,عربی
انار,1668,,female,میوه ای خوراکی با دانه های قرمز یا سفید فراوان و مزه ترش یا شیرین,فارسی
اندیشه,758,andiše,female,آنچه حاصل اندیشیدن است، فکر,فارسی
انسیه,35785,ensiyye,female,مونث انسی، مربوط به اِنس، انسانی,عربی
انگیزه, ,,female,آنچه یا آن که کسی را وادار به کار کند، محرک، باعث,فارسی
انوش,2287,anuš,male,بی مرگ، جاودان,فارسی
انوش زاد, ,,male,زاده جاویدان، از شخصیتهای شاهنامه، نام پسر خسرو انوشیروان پادشاه ساسانی,فارسی
انوشا,432,anušā,female,شادی و خوشحالی و شادمانی ، همچنینن ماندنی و جاودانه ، صورتی از نغوشا، پیرو مانی,فارسی
انوشروان,101,anuše(a)rvān,male,انوشیروان،دارای روان جاوید ، نام یکی از پادشاهان نامدار ساسانی ملقب به دادگر، پیامبر(ص) در زمان این پادشاه متولد شد,فارسی
انوشه,1185,anuše,female,جاودان، شادمان، خوشحال، از شخصیتهای شاهنامه، نام شاهزاده ای ساسانی در تیسفون و نام دختر نرسی،نام اولین کسی که به عنوان گردشگر 10 روز در فضا بود,فارسی
انوشیروان,3806,anuširvān,male,دارای روان جاوید ، نام یکی از پادشاهان نامدار ساسانی ملقب به دادگر، پیامبر(ص) در زمان این پادشاه متولد شد,فارسی
انیتا, ,,female,آنیتا، آناهیتا ، ازبین برنده ناپاکی و پلیدی، نام ایزد آب که در اوستا به صورت دوشیزه ای بسیار زیبا و بلند بالا توصیف شده است,فارسی
انیس,18234,anis,female,همدم,عربی
انیسا,1746,anisā,female,بانوی همدم ، دختری که مونس انسان است.,عربی-فارسی
انیسه,10367,anise,female,همدم,عربی
اهورا,21320,ahurā,male,در فرهنگ ایران باستان، خداوند,فارسی
اهورا مزدا, ,,male,اهورامزد، هرمزد ، اورمزد ، هرمز، معنی اصلی این کلمه سرور دانا است و در متون زردشتیان به معنی خدای بزرگ استعمال شده است.,فارسی
اوات, ,,male,آرزو,کردی
اوتانا,101,o(w),male,دارای اندام زیبا ، نام یکی از یاران داریوش یکم پادشاه هخامنشی,فارسی
اوحد,101,o(w)had,male,یگانه، بی همتا,عربی
اورامان,101,,both,نام منطقه ای کوهستانی در کردستان,کردی
اورمزد, ,,male,هرمز،از نامهای خداوند در آیین زرتشت،نام روز اول از هر ماه شمسی در ایران قدیم، نام ستاره مشتری، نام یکی از پادشاهان ساسانی,فارسی
اورند,101,o(w)rand,male,تخت پادشاهی، شکوه، از شخصیتهای شاهنامه، نام پدر لهراسپ شاه ایران و از نوادگان کی پیشتن پادشاه کیانی,فارسی
اورنگ,982,o(w)rang,male,تخت پادشاهی، فر و زیبایی,فارسی
اوریا,132,oriyā,male,شعله خداوند ، نام مردی یهودی در زمان داوود(ع) که از فرماندهان سپاه بود,عبری
اوژن,246,ožan,male,به زمین افکننده ، از بین برنده دشمن,فارسی
اوستا,2000,avestā,male,نام کتاب مقدس زرتشتیان,اوستایی-پهلوی
اولاد, ,,male,از شخصیتهای شاهنامه، نام پهلوانی در مازندران در زمان کیکاووس پادشاه کیانی,فارسی
اولدوز,382,oldoz,female,ستاره,ترکی
اویس,8946,oveys,male,گرگ کوچک، شخصی پارسا که از تابعین بوده است,عربی
اوین,9168,avin,female,عشق,کردی
اکبر,305000,akbar,male,بزرگ تر,عربی
اکتای,546,oktāy,male,نام سومین پسر و جانشین چنگیز خان,مغولی
اکرم,293646,akram,female,بزرگوار، گرامی,عربی
ایاز,5051,ayāz,male,نام غلام محبوب سلطان محمود غزنوی,ترکی
ایپك, ,,female,(به کسر پ) ابریشم نرم و لطیف,ترکی
ایثار,101,isār,male,از خود گذشتگی، فداکاری,عربی
ایدا,527,iydā,female,آیدا - شاد خوشحال,ترکی
ایران,87884,irān,female,مکان آریائیان(قوم اری)- محل مردمان شجاع و شریف-نام کشور باستانی ما - حدود 2000 سال پیش از میلاد مسیح طوایفی سفید پوست از راه جیحون و کوههای قفقاز وارد منطقه ایران شدند این طوایف به دو دسته تقسیم می شدند دسته ای که خودرا زورمند می دانستند و به نام سک(به فتح س)ها شناخته می شدند و دسته ای دیگر که متمدن تر از دسته اول بودند خود را اری(به فتح الف و کسر ر) به معنای شجاع و شریف می نامیدند و وجه تسمیه ایران نیز همین است.,اوستایی-پهلوی
ایران دخت,6664,,female,دختر ایران، نام همسر فریدون پادشاه پیشدادی,فارسی
ایران ناز, ,,female,موجب فخر و مباهات ایران,فارسی
ایرانا,210,irāna,female,مرکب از ایران + الف اطلاق,فارسی
ایرانه,1457,irāne,female,منسوب به ایران,فارسی
ایرج,77399,irāj,male,پهلوی از شخصیتهای شاهنامه، نام کوچکترین پسر فریدون پادشاه پیشدادی ایران,فارسی
ایرسا,220,irsā,female,آلیسا - رنگین کمان - به بوته سوسن کبود نیز بدان جهت که دارای گلهای زرد و سفید و کبود است ایرسا گویند,فارسی
ایرن,461,iren,female,نام ملکه روم شرقی,فارسی
ایریک, ,,male,آریایی,فارسی
ایزد, ,,male,در فرهنگ ایران باستان، هر یک از فرشتگانی که اهمیت آنها پس از امشاسپندان است، خداوند,اوستایی-پهلوی
ایزدداد,101,izad dād,male,داده خداوند، آفریده خداوند، نام دانشمندی در زمان اردشیر بابکان پادشاه ساسانی,فارسی
ایزدیار,101,izad yār,male,آن که خداوند یار و یاور اوست ، نام یکی از شخصیتهای منظومه ویس و رامین,فارسی
ایل ناز,2134,,female,ایل (ترکی)+ناز(فارسی)،مایه ناز ایل، الناز,فارسی-ترکی
ایلا,199,ilā,male,از شخصیتهای شاهنامه، نام یکی از فرماندهان سپاه افراسیاب تورانی,فارسی
ایلقار,582,il qār,both,عهد و پیمان ، عهد بستن,ترکی
ایلیا,76990,iliyā,male,خدای خدایان - تغییر یافته نام الیاس یکی از چهار پیامبرجاویدان,عبری
ایلیاد,612,il yād,male,نام منظومه حماسی دوران قدیم و از شاهکارهای ادبیات جهان است که درباره جنگی به همین نام است که بین مردم یونان و تراوا در گرفت,فارسی
ایلیار,1504,il yār,male,کمک کننده به ایل ، محافظ خانواده,ترکی
ایما,388,imā,female,اشاره,عربی
ایمان,120416,imān,male,اعتقاد به وجود خداوند وحقیقت رسولان و دین ، یقین داشتن به درستی اندیشه یا امری,عربی
ایناز, ,,female,آیناز ، آی( ترکی) + ناز ( فارسی) موجب فخر و مباهات ماه,ترکی
ایناس,3025,inās,female,دوستی و محبت - همچنین دیدن یا شنیدن آواز,عربی
ایوب,72494,ayyub,male,آن که به خدا رجوع می کند ، نام یکی از پیامبران که خداوند او را به بلاهای فراوان دجار کرد و سپس او را عافیت بخشید و به همین دلیل به صبر وشکیبایی شهرت دارد,عبری
بابک,62273,bābak,male,استوار ، پدر کوچک ، پاپک، از شخصیتهای شاهنامه، نام دلاور ایرانی، پسر ساسان موبِد معبد آناهیتا و پدراردشیر بنیان گذار سلسله ساسانی، تخلص شاعرکرد «علی اصغر سریری»(نگارش کردی,اوستایی-پهلوی-کردی
باتیس,105,bātis,male,دژبان غزه در زمان داریوش سوم پادشاه هخامنشی که تا آخرین نفس در برابر اسکندر پایداری کرد,فارسی
بادام, ,,female,میوه ای کوچک و کشیده با دو پوسته یکی نرم و سبز و دیگری سخت و چوبی,فارسی
بادان, ,bādān,male,از شخصیتهای شاهنامه، نام پسر پیروز از سرداران دوران ساسانی,فارسی
باران,68103,bārān,both,قطره های آب که بر اثر مایع شدن بخار آب موجود در جوّ زمین ایجاد می شود و بر زمین می ریزد,فارسی
باربد,4503,bārba(o)d,male,بارگاه پروردگار و انسان مسئولیت پذیر،نام نوازنده نامدار دربار خسروپرویز پادشاه ساسانی,فارسی
بارسین,101,bārsin,male,زاده خدای ماه,آشوری
بارش,101,,both,بارش باران ، نازل شدن نعمت الهی از آسمان,فارسی
بارمان,1062,bārmān,male,از شخصیتهای شاهنامه، نام دلاور تورانی و از سپاهیان افراسیاب تورانی، نام یکی از سرداران دورةماد ، شخص محترم و لایق دارای روح بزرگ,فارسی-کردی
بارین,1500,bārin,female,بارندگی، بارش(نگارش کردی,کردی
بازیار,101,bāzyār,male,بازدارندة، داور مسابقة پرش(نگارش کردی,کردی
باستان,101,bāstān,male,قدیمی، دیرینه، کهنه، گذشته(نگارش کردی,کردی
باغبان, ,,male,باغبان(نگارش کردی,کردی
باقر,53794,bāqer,male,شکافنده ، لقب امام پنجم شیعیان، نام یکی از رهبران دوره انقلاب مشروطیت ایران که به سالار ملی ملقب گردید,عربی
بالا, ,,male,قیافه(نگارش کردی,کردی
بالنده,101,bālande,female,آن که یا آنچه در حال رشد یا ترقی و پیشرفت است,فارسی
بامداد,801,bāmdād,male,صبح، نام پدر مزدک,فارسی
بامشاد,110,bāmšād,male,نام یکی از موسیقیدانان معروف در زمان خسروپرویز پادشاه ساسانی,فارسی
بامی,653,bāmi,female,درخشان، لقب شهر بلخ,فارسی
بامین,101,bāmin,female,نام روستایی در نزدیکی هرات,فارسی
بامیک,101,bāmik,female,بامی،درخشان، لقب شهر بلخ,اوستایی-پهلوی
بانگ, ,,male,خبرکردن مردم، اذان(نگارش کردی,کردی
بانو, ,,female,عنوانی احترام آمیز برای زنان، خانم، ملکه، به صورت پسوند همراه با بعضی نامها می آید و نام جدید می سازد، مانند ماه بانو، گل بانو,فارسی
بانی, ,,male,به وجود آورنده، عبری نام مردی از نسل جاد که از شجاعان زمان داوود(ع) بوده است,عربی
باوان,832,bāvān,female,بابان ، خانه ‏پدری(نگارش کردی,کردی
باور,210,bāvar,female,مجموعه اعتقادهایی که در یک جامعه مورد پذیرش قرار گرفته است ، حالت یا عادتی که باعث اعتقاد یا یقین انسان می شود,فارسی
باوند,101,bāvand,female,اصیل ، خانوادةایی معروف از کردها کةدر شمال ایران حکومتی پایه ‏نهادند(نگارش کردی,کردی
بایا,101,bāyā,male,بایسته، ضروری,فارسی
بتول,236840,batul,female,پاکدامن، پارسا، لقب فاطمه (س) و مریم (ع),عربی
بخت آفرید, ,,female,آفریده بخت و اقبال,فارسی
بخت آفرین, ,,male,آفریننده بخت و اقبال، نام پدر هیربد شهریار,فارسی
بختیار,18397,baxt(i)yār,male,خوشبخت، سعید، نام استاد رودکی در موسیقی,فارسی
بخش علی, ,,male,بخش (فارسی) + علی (عربی) ،کسی که نصیب و بخت از علی(ع) یافته ، بخشیده شده از سوی علی(ع),فارسی-عربی
بدری,12636,badri,female,منسوب به بدر، ماه تمام,عربی
بدن گل, ,,female,آن که بدنی لطیف و زیبا,فارسی
بدیع الزمان,101,,male,آن که زمان خود یگانه و بی نظیر است,عربی
برات,20594,barāt,male,اعمال نیک و خیرات - همچنین شب نیمه شعبان که احیا و شب زنده داری در آن بسیار توصیه شده است.,عربی
برادر, ,,male,اخوی، داداش ، کنایه ‏از رفیق(نگارش کردی,کردی
برانوش,101,barānuš,male,از شخصیتهای شاهنامه، نام سردار رومی در زمان شاپور ذوالاکتاف پادشاه ساسانی,فارسی
بردیا,29290,bardiyā,male,نام دومین پسر کوروش پادشاه هخامنشی و برادر کمبوجیه,فارسی
برز, ,,male,قد و قامت، نام یکی از دو برادری که به یاری اردشیر بابکان پادشاه ساسانی برخاستند و او را به خانه خود بردند,فارسی
برزان,1487,borzān,male,نگا «بارزان»(نگارش کردی,کردی
برزو,8803,borzu,male,بلند بالا ، کنایه ‏از عظمت ،نام پسر سهراب پسر رستم زال(نگارش کردی,فارسی-کردی
برزویه,101,borzuyeh,male,نام پزشک نامدار ایرانی که کتاب کلیه و دمنه را در زمان انوشیروان پادشاه ساسانی از هند به ایران اورد(نگارش کردی,فارسی-کردی
برزین,776,barzin,female,باشکوه ، نام یکی از سرداران کیکاوس شاة ماد ،نام کوهی در کردستان بین مهاباد و سردشت (نگارش کردی,فارسی-کردی
برسام,4425,barsām,male,آتش بزرگ مرکب از بر(مخفف ابر) + سام ( آتش) - نام یکی از سرداران یزگرد ساسانی,فارسی
برشید,101,baršid,female,بر( میوه) + شید ( خورشید),فارسی
برف‌آب, ,,female,آبی که ‏از ذوب شدن برف سرازیر می‏شود و جویباری تشکیل می‏دهد(نگارش کردی,کردی
برفی, ,,female,سفید و زیبا مانند برف,فارسی
برفین,813,barfin,female,سفید و زیبا مانند برف,فارسی
برگ, ,,female,به ضم ب ، ابرو,فارسی
برلیان,101,bereliyān,female,الماس تراش داده شده که درخشش و زیبایی خاصی دارد,فرانسه
برمک,156,barmak,male,عنوان اجداد خاندان برمکیان و در اصل عنوان و لقبی بوده که به رئیس روحانی معبد بودایی بلخ می دادند، برمک معروف پدربزرگ یحیی وزیر مشهور هارون الرشید است,فارسی
برنا,1568,bornā,male,جوان,فارسی
برهان,10476,borhān,male,دلیل، حجت,عربی
برهان الدین,429,,male,دلیل و حجت دین,عربی
بروسکه,101,boruske,male,برق ناشی از ابر یا هر چیز دیگر ، تلگراف(نگارش کردی,کردی
برومند,1717,bo(a)rumand,male,بارور، میوه دار,فارسی
برین, ,barin,male,پیشین ، عریض، پهناور(نگارش کردی,کردی
بزرگ,870,bozorg,male,والا، برجستة، نام شاعری کرد (نگارش کردی,فارسی-کردی
بزرگ امید, ,,male,بسیار امیدوار، نام معلم خسرو پرویز پادشاه ساسانی,فارسی
بزرگمهر,664,bozorg mehr,male,بسیار مهربان، نام وزیر انوشیروان پادشاه ساسانی,فارسی
بسام,456,bassām,male,ترسناک ، نام روستایی ، نام سرداری در دوره ‏بهرام گور ساسانی (نگارش کردی,کردی
بستور,101,bastur,male,نام پسر زریر برادر گشتاسپ,اوستایی-پهلوی
بسطام, ,bestām,male,نام دایی خسرو پرویز پادشاه ساسانی,فارسی
بسیم,101,basim,male,خوشحال، شادمان و خندان,عربی
بشرا, ,,female,خبر خوب ، دختر خوش خبر ، بانوی خوش یمن,عربی
بشری, ,bošrā,female,بشارت، مژده,عربی
بشیر,15693,bašir,male,بشارت دهنده، مژده دهنده,عربی
بصیر,1918,basir,male,آگاه، بینا، از نامهای خداوند,عربی
بلاش, ,,male,از شخصیتهای شاهنامه، نام فرزند کوچک یزگرد دوم پادشاه ساسانی و نوزدهمین پادشاه ساسانی، نیز نام چند تن از پادشاهان اشکانی,اوستایی-پهلوی
بلال,15373,belāl,male,نام اولین مؤذن اسلام,عربی
بلقیس,56202,belqis,female,ملکه شهر سبا که معاصر سلیمان بود و به دیدن او رفت,فارسی
بلور,8563,bolur,female,نام ماده معدنی جامد و شفاف مانند شیشه ، آنچه از جنس شیشه شفاف و خوب است،معرب از یونانی,عربی
بلورین,101,bolurin,female,بلور(عربی) + ین (فارسی) منسوب به بلور، شفاف و درخشان مانند بلور,عربی-فارسی
بلوط,101,balut,female,گیاهی درختی و جنگلی که میوه آن خوراکی است,فارسی
بنفش, ,,female,نگا «وةنةوش»(نگارش کردی,کردی
بنفشه,18241,banafše,female,گلی که در فصل بهار می روید و دارای رنگهای گوناگون است,فارسی
بنیامین,85713,benyāmin,male,پسر دست راست ، نام کوچکترین پسر یعقوب و راحیل,عبری
به آذین,101,,both,به (خوبتر یا زیباتر) + آذین(زیور، زینت),فارسی
به آفرید,101,,female,به ( بهتر، خوبتر) + آفرید (آفریده)، از شخصیتهای شاهنامه، نام دختر گشتاسپ پادشاه کیانی و خواهر اسفندیار,فارسی
به آفرین,148,,female,به (بهتر یا خوبتر) + آفرین (واژه تحسین),فارسی
به آیین, ,,female,دارای آیین بهتر,فارسی
به تام,101,,both,کسی که در بین سایرین بهترین و کاملترین است,فارسی
به خاتون, ,,female,به (فارسی) + خاتون (سغدی) بهترین بانو,فارسی
به گل,107,,female,مرکب از به( زیباتر) + گل,فارسی
به گوی, ,,male,خوش سخن، دارای گفتار نیک، نام شخصیتی در منظومه ویس و رامین,فارسی
به یزداد, ,,male,آفریده نیک خداوند,فارسی
بها,101,bahā,male,درخشندگی، روشنی,عربی
بهاء الدین,3497,bahā’oddin,male,روشنی دین ، نام پدر مولانا جلال الدین مولوی بلخی ، نام دانشمندی مشهور در زمان شاه عباس صفوی معروف به شیخ بهائی,عربی
بهادر,14000,bahādor,male,دلیر، شجاع,ترکی
بهار,69131,bahār,female,نام اولین فصل سال، پس از زمستان و پیش از تابستان ، شکوفه درختان خانواده مرکبات ، کنایه از لطافت و زیبایی ، نام شهری در کردستان ، مرکز کردستان در دوره ‏سلجوقی ، لقب شاعر و نویسنده ‏و محقق کرد «ملک الشعرای بهار» (نگارش کردی,فارسی-کردی
بهاران,417,bahārān,female,هنگام بهار، موسم بهار,فارسی
بهاردخت,101,bahār doxt,female,دختر بهار,فارسی
بهاره,97142,bahāre,female,منسوب به بهار، بهاری،متولد شده در بهار,فارسی
بهارک,4254,bahārak,female,مثل بهار، مانند بهار,فارسی
بهامد, ,be(a)hāmad,male,پیشامد خوب,فارسی
بهامین,812,bahāmin,female,به ضم ب ، فصل بهار ، بهار,فارسی
بهان,101,behān,both,جمع به، خوبان,فارسی
بهانه, ,,female,دلیل، علت,فارسی
بهاور,101,bahāvar,female,گرانبها - پر ارزش - مرکب از بها(ارزش) + پسوند دارندگی,فارسی
بهبد,149,beh bod,male,مرکب از به (بهتر، خوبتر) + بد( پسوند اتصاف),فارسی
بهبود,5132,behbud,male,پیشرفت تدریجی - حرکت رو به بهتر شدن,فارسی
بهتاش,435,behtāš,male,مرکب از کلمه فارسی به بعلاوه پسوند ترکی تاش ، شریک خوب ، صاحب اخلاق و رفتا رنیکو ، امیری که دارای اخلاق و رفتار خوب است,فارسی
بهجت,29720,be(a)hjat,female,شادمانی,عربی
بهداد,6104,behdād,male,آفریده خوب,فارسی
بهدخت,628,beh doxt,female,مرکب از به (بهتر، خوبتر) + دخت (دختر),فارسی
بهدیس,103,behdis,female,مانند به(به میوه ای خوش عطر و بو),فارسی
بهراد,14206,behrād,male,مرکب از به (خوب یا بهتر) + راد (بخشنده),فارسی
بهرام,119189,bahrām,male,فتح و پیروزی ، نام ستاره مریخ ، نام روز بیستم از هر ماه شمسی در ایران قدیم ، نام فرشته موکل بر مسافران و روز بهرام ، نام چندتن از شخصیتهای شاهنامه از جمله نام یکی از فرزندان گودرز گشواد که در دربار کاووس پادشاه ‏کیانی بود,فارسی-کردی
بهرامه,101,bahrāme,female,ابریشم، بیدمشک,فارسی
بهرخ,684,beh rox,female,آن که چهره ای خوب و زیبا دارد,فارسی
بهرنگ,2940,behrang,male,مرکب از به (بهتر، خوبتر) + رنگ,فارسی
بهرو,101,beh ru,female,خوبرو ، نیک منظر ، دختر زیبا ، خوش چهره,فارسی
بهروز,132694,behruz,male,خوشبخت، سعادتمند، از شخصیتهای شاهنامه، نام سردار ایرانی در سپاه بهرام گور پادشاه ساسانی,فارسی
بهروزه,101,behruze,female,خوشبخت، سعادتمند، نام همسر شاه اسماعیل صفوی,فارسی
بهزاد,120022,beh zād,male,مرکب از به ( بهتر، خوب) + زاد ( زاده) ، نام نقاش و مینیاتوریست معروف در اوخر عهد تیموری و اوایل عهد صفوی، از شخصیتهای شاهنامه، نام یکی از بزرگان درگاه انوشیروان پادشاه ساسانی، همچنین نام اسب ‏سیاوش,فارسی
بهسا,901,behsā,female,بانوی خوش چهره ، دختر زیبا رو,فارسی
بهستان,101,behestān,male,نیک بنیاد، نام پسر اردشیر سوم پادشاه هخامنشی,فارسی
بهستون,101,behestun,male,نام پسر وشمگیر و یکی از فرمانروایان آل زیار در طبرستان,فارسی
بهسود,101,behsud,male,از نامهای زمان ساسانیان,فارسی
بهشاد,1248,behšād,male,مرکب از به ( بهتر یا خوب) + شاد,فارسی
بهشت,173,,female,فردوس، جنت(نگارش کردی,فارسی-کردی
بهشته,2324,behešte,female,بهشت,فارسی
بهشید,308,behšid,female,مرکب از به (بهتر،خوبتر) + شید( روشنایی یا خورشید),فارسی
بهفر,263,behfar,male,مرکب از به( بهتر، خوبتر) + فر ( شکوه، جلال),فارسی
بهلول,8078,bohlul,male,از عاقلان دیوانه نما در زمان هارون الرشید که هارون و خلفای دیگر از او تقاضای موعظه می کردند,عربی
بهمن,117299,bahman,male,نیک اندیش ، نام ماه یازدهم از سال شمسی ، نام فرشته نگهبان چهارپایان سودمند ، نام روز دوم از هر ماه شمسی در ایران قدیم، نام یکی از لحنهای قدیم موسیقی ایرانی، نام چندتن از شخصیتهای شاهنامه از جمله نام ‏پسر اسفندیار پسر گشتاسپ پادشاه کیانی، تخلص شاعر کرد «فریدون بهمن»(نگارش کردی,فارسی-کردی
بهمن داد,101,,male,داده بهمن,فارسی
بهمن دخت, ,,female,دختری که در بهمن به دنطا آمده، دختر بهمن,فارسی
بهمنش,101,behmaneš,male,وهمنش، کسی که دارای راه و روش نیکویی است,فارسی
بهمنیار,833,bahman yār,male,نام شاگرد ابوعلی سینا,فارسی
بهناز,55520,beh nāz,female,مرکب از به (زیباتر، خوبتر) + ناز (کرشمه، غمزه),فارسی
بهنام,110693,beh nām,male,دارای نام نیک,فارسی
بهنود,1606,behnud,male,نام پادشاهان هند,سنسکریت-هندی
بهنوش,6278,behnuš,female,مرکب از به (بهتر یا خوب) + نوش(عسل),فارسی
بهنیا,1865,behniyā,male,وهنیا، کسی که از نسل خوبان است,فارسی
بهی,103,behi,female,به (میوه),فارسی
بهین,247,behin,female,مرکب از بهین (بهترین) + آفرین (آفریننده),فارسی
بهین بانو, ,,female,مرکب از بهین( بهترین) + بانو,فارسی
بهین دخت,101,,female,مرکب از بهین( بهترین) + دخت( دختر),فارسی
بهینا,555,behinā,both,فرزند نیکان ، کسی که اجداد و نیاکانش از خوبان بوده اند,فارسی
بهینه,101,behine,female,بهترین، خوبترین,فارسی
بوران دخت, ,,female,پوران دخت,فارسی
بوستان,233,bustān,female,بستان,فارسی
بوین, ,,female,خوشبو(نگارش کردی,کردی
بکتاش,243,baktāš,male,بزرگ ایل و طایفه ، نام یکی از پادشاهان خوارزم,ترکی
بی بش, ,,male,محروم(نگارش کردی,کردی
بی بی گل, ,,female,بی بی(ترکی) + گل( فارسی)، بی بی عنوانی احترام آمیز برای زنان سالخورده,فارسی-ترکی
بی بی ماه, ,,female,بی بی( ترکی) + ماه(فارسی) ، بی بی عنوانی احترام آمیز برای زنان سالخورده,فارسی-ترکی
بی بی ناز, ,,female,بی بی( ترکی) + ناز(فارسی) ، بی بی عنوانی احترام آمیز برای زنان سالخورده,فارسی-ترکی
بی توش, ,,female,همیشه ‏سایه(نگارش کردی,کردی
بی خال, ,,female,بی نشان(نگارش کردی,کردی
بی خم, ,,female,آرامش(نگارش کردی,کردی
بی نظیر,764,,female,بی(فارسی) + نظیر(عربی) بی مانند، بی همتا,فارسی-عربی
بی وینه, ,,female,بی نظیر(نگارش کردی,کردی
بیان,6599,bayān,both,سخن وگفتار، شرح و توضیح,عربی
بیتا,44348,bitā,female,بی همتا، بی نظیر,فارسی
بیدار,101,bidār,male,آگاه، هوشیار,فارسی
بیدخت,101,bidoxt,female,نام ستاره زهره,فارسی
بیدگل,101,bid gol,female,نام شهری از بخش آران شهرستان کاشان,فارسی
بیرون, ,,female,پرنده‌ای که محل زندگی ندارد(نگارش کردی,کردی
بیژن,33545,bižan,male,از شخصیتهای شاهنامه، نام پسر گیو گودرز از پهلوانان ایرانی در زمان کیخسرو پادشاه کیانی,فارسی
پاداش, ,,male,جزا، اجر کار خوب، مکافات نیکی(نگارش کردی,کردی
پادرا,549,pādrā,male,نگهبان آتش - مرکب از پاد به نگهبانی و محافظت + را به معنی نور و روشنایی,فارسی
پادمیرا,128,pādmirā,female,جاویدان ، نگهدارنده عشق ، نگهبان مهر,فارسی
پارس, ,,male,نام قومی از اقوام آریایی که در قسمت جنوبی ایران سکونت کرده بودند‎ ‎، نام ناحیه ای که قوم پارس در آنجا سکونت کرده بودند,فارسی
پارسا,103172,pārsā,male,پرهیزکار، مؤمن,فارسی
پارسان,116,pārsān,male,نام روستایی در نزدیکی سیرجان,فارسی
پارسیا,455,pārsiyā,male,منسوب به پارس ، مرد پارسی ، پسر ایرانی,فارسی
پارلا,1262,pārlā,female,درخشنده و نورانی,ترکی
پارمیدا,13309,pārmidā,female,پارمیس، نام دختر بردیا ونوه کوروش پادشاه هخامنشی -پارمیدا تغییر یافته نام اوستایی پرومیثه یا پرومیزد و به معنی بانوی دانا دانشمند یا بانوی پرمهر است,فارسی-اوستایی-پهلوی
پارمیس,17553,pārmis,female,پرمیس، نام دختر بردیا ونوه کوروش پادشاه هخامنشی -پارمیدا تغییر یافته نام اوستایی پرومیثه یا پرومیزد و به معنی بانوی دانا دانشمند یا بانوی پرمهر است,فارسی
پارمین,2462,pārmin,female,نام همسر داریوش پادشاه هخامنشی,فارسی
پاره وان, ,,male,بانک(نگارش کردی,کردی
پاره یار, ,,male,کارمند بانک(نگارش کردی,کردی
پاشا,5364,pāšā,male,پادشاه در امپراطوری عثمانی ،عنوان مقامات لشکری و کشوری,فارسی
پاشنگ, ,,female,خوشه انگور,فارسی
پالیز,101,pāliz,female,باغ,فارسی
پانیا,3587,pāniyā,female,محافظ نگهدارنده,فارسی
پانیذ,15939,pāniz,female,شکر، فانیذ,فارسی
پاک آفرین, ,,female,آفریننده پاک,فارسی
پاک رخ, ,,female,پاکیزه رو، زیبا رو,فارسی
پاک گوهر, ,,female,پاک گهر,فارسی
پاکان,348,pākān,male,منسوب به پاک ، طاهر و پاکیزه ، تمیز و مرتب,فارسی
پاکنوش,101,pāk nuš,female,پاک نوشنده,فارسی
پایا,385,pāyā,male,پایدار,فارسی
پاییز, ,,female,هنگام پاییز، برگ ریزان ، مجازا دختر زیبا رو,فارسی
پدرام,27155,pedrām,male,سرسبز، خرم‌ ، شاد و خوش,فارسی
پدیده,762,padide,female,آنچه اتفاق می افتد یا وجود دارد و می توان آن را تجربه کرد ، شخص، چیز، یا حادثه چشمگیر,فارسی
پرارین,101,pa(e)rārin,female,خوب و نیکو,فارسی
پربها,101,porbahā,female,باارزش، قیمتی,فارسی
پرتو,1387,parto(w),female,درخشش، تلألو,فارسی
پردیس,11305,pardis,female,فردوس ، باغ، بستان,فارسی
پرسا,389,porsā,female,نرم و لطیف مانند پر.,فارسی
پرستش,2812,parasteš,female,نیایش کردن ، عبادت کردن,فارسی
پرستو,41816,parasto,female,پرنده ای سیاه و سفید با بالهای باریک که مهاجر است,فارسی
پرستوک,101,parastuk,female,پرستو,فارسی
پرسیا,101,persiyā,female,پرشیا,فارسی
پرشاد,101,poršād,female,نام خواهر داریوش دوم پادشاه هخامنشی,فارسی
پرگشا,101,par gošā,female,پرگشاینده، پرواز کننده,فارسی
پرگل,4066,por gol,female,(به فتح پ) هر یک از گلبرگهای گل,فارسی
پرمیس,304,parmis,female,پارمیس، نام دختر بردیا ونوه کوروش پادشاه هخامنشی -پارمیدا تغییر یافته نام اوستایی پرومیثه یا پرومیزد و به معنی بانوی دانا دانشمند یا بانوی پرمهر است,فارسی
